Word		Count 
1 - टेंेडर		1 
2 - तोड़फोेड़		1 
3 - हार्टल		2 
4 - 34pm		2 
5 - सामथ्र्य		1 
6 - 3640		2 
7 - व्हेल		2 
8 - पहूंच		3 
9 - व्हेर		1 
10 - कोमोड		1 
11 - गेनोलर्स		1 
12 - रेंगनेवाल		1 
13 - फाइंनैंशल		1 
14 - 3650		4 
15 - मैनिपुलेट		1 
16 - 3651		2 
17 - डेफर्ड		3 
18 - nitin189		1 
19 - मंगलपुर		1 
20 - 0		2050 
21 - 1		8931 
22 - 2		11030 
23 - 3		10415 
24 - 4		8277 
25 - 5		9474 
26 - डालचंद		22 
27 - 6		7962 
28 - 7		6154 
29 - वेदांक्ष		1 
30 - 8		5924 
31 - 3641		2 
32 - 9		4640 
33 - INTERVALS		1 
34 - थिलन		3 
35 - लाफोंटेन		2 
36 - टमिर्नल्स		2 
37 - KINGFISHER		2 
38 - A		299 
39 - ब्लैंकिट्स		3 
40 - B		358 
41 - पीतांबर		9 
42 - स्पॉर्न्स्ड		3 
43 - टुकुर		4 
44 - ब्रेडवेथ		1 
45 - C		86 
46 - D		64 
47 - E		37 
48 - 3660		1 
49 - F		15 
50 - बीआरएमएस		8 
51 - G		19 
52 - H		118 
53 - I		532 
54 - J		9 
55 - K		221 
56 - L		16 
57 - M		108 
58 - N		57 
59 - लेखानुदान		2 
60 - O		9 
61 - P		56 
62 - स्मगलिंग		17 
63 - Q		3 
64 - R		24 
65 - लेदर्स		1 
66 - थिरक		78 
67 - S		84 
68 - T		35 
69 - U		222 
70 - थियम		1 
71 - V		13 
72 - W		14 
73 - थियर		3 
74 - X		27 
75 - संभाग		16 
76 - Y		1 
77 - Z		1 
78 - हिस्टिरियरोसाल्पिनोग्राफ		1 
79 - बायोलाज		2 
80 - 3654		1 
81 - एक्सिलरेटर		2 
82 - एवेल्यूशन		1 
83 - 3658		1 
84 - मानीखेज		1 
85 - a		290 
86 - b		437 
87 - तेजेंद		4 
88 - c		83 
89 - d		80 
90 - e		25 
91 - f		8 
92 - g		8 
93 - h		174 
94 - i		716 
95 - j		9 
96 - k		157 
97 - l		17 
98 - ॅहापुड़		2 
99 - प्रोटेक्ट		19 
100 - m		113 
101 - लैडिंग		1 
102 - n		41 
103 - o		6 
104 - p		40 
105 - परेतन		1 
106 - q		2 
107 - r		37 
108 - s		110 
109 - t		35 
110 - u		269 
111 - v		13 
112 - w		9 
113 - x		33 
114 - SECURITY		3 
115 - y		8 
116 - नालमल्ल		1 
117 - z		10 
118 - निजामुदीन		1 
119 - 3665		1 
120 - 258न्यूनतम		1 
121 - सुंरग		4 
122 - MBBS		3 
123 - पॉयजिनंग		1 
124 - कैंपेनर		2 
125 - मस्स		2 
126 - पालशेट		1 
127 - चेकनाक		1 
128 - पालशेत		1 
129 - घरानाशाह		2 
130 - बोनटन		1 
131 - सहसवान		3 
132 - मस्त		112 
133 - महमद		1 
134 - स्टूडंेट्स		55 
135 - वेस्टबिन		1 
136 - लुंजपुंज		2 
137 - ज्युइजन		2 
138 - व्होर		2 
139 - 3676		1 
140 -  		79 
141 - 3690		1 
142 - ¤		1 
143 - 3692		1 
144 - संभाज		2 
145 - पबित्र		3 
146 - ®		1 
147 - संभाल		1422 
148 - यूननिफाइड		1 
149 - 3688		1 
150 - संभाव		2248 
151 - हार्डर		1 
152 - रोन्जन		1 
153 - मियर्स		1 
154 - मसोस		2 
155 - SOMTHING		1 
156 - रीलॉन्च		4 
157 - अनियिमित		4 
158 - offs		1 
159 - साइनेज		101 
160 - समभाव		20 
161 - 3698		2 
162 - थीऔर		1 
163 - वालंटियर्स		6 
164 - करूणम		1 
165 - उद्विग्न		2 
166 - ज़ज्बात		1 
167 - मस्क		8 
168 - कमशिर्यल		5 
169 - दूनगिर		1 
170 - डैशबोर्ड		4 
171 - जीनियस		14 
172 - गोढ़ो		2 
173 - SAINTS		1 
174 - पबितोर		1 
175 - मस्ट		4 
176 - महयं		1 
177 - प्रेमजाल		6 
178 - better		42 
179 - अपहरणकर्		85 
180 - मसौद		137 
181 - allegations		1 
182 - पहुचं		3 
183 - जेंड		5 
184 - सबस्टेंस		1 
185 - महेंद्रपुर		2 
186 - जेंग		3 
187 - अध्याय		143 
188 - स्वीपिंग		9 
189 - क्र्रेन		1 
190 - बायोलॉज		10 
191 - हेल्मुट		12 
192 - टुक्क		6 
193 - प्रॉटेक्टर		2 
194 - नमस्तुभ्यम्		1 
195 - एनएमपीईए		5 
196 - सिमेस्टर		1 
197 - प्रेमसूरीश्वर		3 
198 - थॉबर्न		1 
199 - प्रैस्क्रिप्शन		1 
200 - लेमोंट		1 
201 - विवाहोत्सव		7 
202 - नागरकरण		1 
203 - अखिलेंद्र		1 
204 - poetically		1 
205 - प्लासेंट		2 
206 - चिनयाम		1 
207 - महरा		1 
